* Measurement data measured by REW V5.31.3
* Source: /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv
* Format: Comma/Tab/Space delimited data
* Dated: Jul 25, 2025 11:45:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /Users/admin/Documents/Developer/qualia_surroundsystem_v0/data/Automeris.io RS100-4 SPL.csv Format: Comma/Tab/Space delimited data 50 values loaded, 20 Hz to 19,776 Hz 
* Measurement: Automeris.io RS100-4 SPL
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.17 Hz
*
* Freq(Hz), SPL(dB)
109.920000, 83.855
110.170000, 83.880
110.420000, 83.904
110.670000, 83.929
110.920000, 83.953
111.170000, 83.976
111.420000, 83.999
111.670000, 84.022
111.920000, 84.044
112.170000, 84.065
112.420000, 84.086
112.670000, 84.107
112.920000, 84.110
113.170000, 84.108
113.420000, 84.105
113.670000, 84.101
113.920000, 84.096
114.170000, 84.090
114.420000, 84.083
114.670000, 84.076
114.920000, 84.067
115.170000, 84.058
115.420000, 84.048
115.670000, 84.037
115.920000, 84.026
116.170000, 84.014
116.420000, 84.003
116.670000, 83.990
116.920000, 83.978
117.170000, 83.966
117.420000, 83.953
117.670000, 83.941
117.920000, 83.929
118.170000, 83.917
118.420000, 83.905
118.670000, 83.894
118.920000, 83.882
119.170000, 83.872
119.420000, 83.862
119.670000, 83.853
119.920000, 83.844
120.170000, 83.836
120.420000, 83.829
120.670000, 83.823
120.920000, 83.827
121.170000, 83.847
121.420000, 83.867
121.670000, 83.889
121.920000, 83.911
122.170000, 83.934
122.420000, 83.957
122.670000, 83.981
122.920000, 84.006
123.170000, 84.031
123.420000, 84.057
123.670000, 84.083
123.920000, 84.109
124.170000, 84.136
124.420000, 84.163
124.670000, 84.190
124.920000, 84.217
125.170000, 84.245
125.420000, 84.272
125.670000, 84.299
125.920000, 84.327
126.170000, 84.354
126.420000, 84.381
126.670000, 84.408
126.920000, 84.434
127.170000, 84.460
127.420000, 84.486
127.670000, 84.511
127.920000, 84.536
128.170000, 84.560
128.420000, 84.584
128.670000, 84.607
128.920000, 84.629
129.170000, 84.651
129.420000, 84.672
129.670000, 84.685
129.920000, 84.693
130.170000, 84.701
130.420000, 84.709
130.670000, 84.717
130.920000, 84.725
131.170000, 84.733
131.420000, 84.741
131.670000, 84.748
131.920000, 84.756
132.170000, 84.763
132.420000, 84.771
132.670000, 84.778
132.920000, 84.785
133.170000, 84.793
133.420000, 84.800
133.670000, 84.807
133.920000, 84.814
134.170000, 84.821
134.420000, 84.827
134.670000, 84.834
134.920000, 84.841
135.170000, 84.848
135.420000, 84.854
135.670000, 84.861
135.920000, 84.867
136.170000, 84.874
136.420000, 84.880
136.670000, 84.886
136.920000, 84.892
137.170000, 84.898
137.420000, 84.904
137.670000, 84.910
137.920000, 84.916
138.170000, 84.922
138.420000, 84.928
138.670000, 84.934
138.920000, 84.940
139.170000, 84.945
139.420000, 84.951
139.670000, 84.956
139.920000, 84.962
140.170000, 84.967
140.420000, 84.973
140.670000, 84.978
140.920000, 84.983
141.170000, 84.988
141.420000, 84.994
141.670000, 84.999
141.920000, 85.004
142.170000, 85.009
142.420000, 85.014
142.670000, 85.019
142.920000, 85.023
143.170000, 85.028
143.420000, 85.033
143.670000, 85.038
143.920000, 85.042
144.170000, 85.047
144.420000, 85.051
144.670000, 85.056
144.920000, 85.060
145.170000, 85.065
145.420000, 85.069
145.670000, 85.074
145.920000, 85.078
146.170000, 85.082
146.420000, 85.086
146.670000, 85.091
146.920000, 85.095
147.170000, 85.099
147.420000, 85.103
147.670000, 85.107
147.920000, 85.111
148.170000, 85.115
148.420000, 85.119
148.670000, 85.123
148.920000, 85.127
149.170000, 85.130
149.420000, 85.134
149.670000, 85.138
149.920000, 85.142
150.170000, 85.145
150.420000, 85.149
150.670000, 85.153
150.920000, 85.156
151.170000, 85.160
151.420000, 85.163
151.670000, 85.167
151.920000, 85.170
152.170000, 85.174
152.420000, 85.177
152.670000, 85.180
152.920000, 85.184
153.170000, 85.187
153.420000, 85.191
153.670000, 85.194
153.920000, 85.197
154.170000, 85.200
154.420000, 85.204
154.670000, 85.207
154.920000, 85.210
155.170000, 85.213
155.420000, 85.216
155.670000, 85.219
155.920000, 85.223
156.170000, 85.226
156.420000, 85.229
156.670000, 85.232
156.920000, 85.235
157.170000, 85.238
157.420000, 85.241
157.670000, 85.244
157.920000, 85.247
158.170000, 85.250
158.420000, 85.254
158.670000, 85.258
158.920000, 85.262
159.170000, 85.266
159.420000, 85.270
159.670000, 85.275
159.920000, 85.279
160.170000, 85.283
160.420000, 85.287
160.670000, 85.291
160.920000, 85.295
161.170000, 85.299
161.420000, 85.303
161.670000, 85.307
161.920000, 85.311
162.170000, 85.316
162.420000, 85.320
162.670000, 85.324
162.920000, 85.328
163.170000, 85.332
163.420000, 85.336
163.670000, 85.340
163.920000, 85.344
164.170000, 85.348
164.420000, 85.352
164.670000, 85.356
164.920000, 85.360
165.170000, 85.364
165.420000, 85.368
165.670000, 85.372
165.920000, 85.376
166.170000, 85.380
166.420000, 85.384
166.670000, 85.388
166.920000, 85.392
167.170000, 85.396
167.420000, 85.400
167.670000, 85.404
167.920000, 85.408
168.170000, 85.412
168.420000, 85.416
168.670000, 85.420
168.920000, 85.424
169.170000, 85.428
169.420000, 85.432
169.670000, 85.435
169.920000, 85.439
170.170000, 85.443
170.420000, 85.447
170.670000, 85.451
170.920000, 85.455
171.170000, 85.459
171.420000, 85.463
171.670000, 85.467
171.920000, 85.471
172.170000, 85.475
172.420000, 85.479
172.670000, 85.482
172.920000, 85.486
173.170000, 85.490
173.420000, 85.494
173.670000, 85.498
173.920000, 85.502
174.170000, 85.506
174.420000, 85.510
174.670000, 85.513
174.920000, 85.517
175.170000, 85.521
175.420000, 85.525
175.670000, 85.529
175.920000, 85.533
176.170000, 85.537
176.420000, 85.540
176.670000, 85.544
176.920000, 85.548
177.170000, 85.552
177.420000, 85.556
177.670000, 85.560
177.920000, 85.563
178.170000, 85.567
178.420000, 85.571
178.670000, 85.575
178.920000, 85.579
179.170000, 85.582
179.420000, 85.586
179.670000, 85.590
179.920000, 85.594
180.170000, 85.598
180.420000, 85.601
180.670000, 85.605
180.920000, 85.609
181.170000, 85.613
181.420000, 85.616
181.670000, 85.620
181.920000, 85.624
182.170000, 85.628
182.420000, 85.632
182.670000, 85.635
182.920000, 85.639
183.170000, 85.643
183.420000, 85.647
183.670000, 85.650
183.920000, 85.654
184.170000, 85.658
184.420000, 85.662
184.670000, 85.665
184.920000, 85.669
185.170000, 85.673
185.420000, 85.677
185.670000, 85.680
185.920000, 85.684
186.170000, 85.688
186.420000, 85.691
186.670000, 85.695
186.920000, 85.699
187.170000, 85.703
187.420000, 85.706
187.670000, 85.710
187.920000, 85.714
188.170000, 85.717
188.420000, 85.721
188.670000, 85.725
188.920000, 85.729
189.170000, 85.732
189.420000, 85.736
189.670000, 85.740
189.920000, 85.743
190.170000, 85.747
190.420000, 85.751
190.670000, 85.754
190.920000, 85.758
191.170000, 85.762
191.420000, 85.765
191.670000, 85.769
191.920000, 85.773
192.170000, 85.776
192.420000, 85.780
192.670000, 85.784
192.920000, 85.787
193.170000, 85.791
193.420000, 85.795
193.670000, 85.798
193.920000, 85.802
194.170000, 85.806
194.420000, 85.809
194.670000, 85.813
194.920000, 85.817
195.170000, 85.820
195.420000, 85.824
195.670000, 85.828
195.920000, 85.831
196.170000, 85.835
196.420000, 85.839
196.670000, 85.842
196.920000, 85.846
197.170000, 85.850
197.420000, 85.853
197.670000, 85.857
197.920000, 85.861
198.170000, 85.864
198.420000, 85.868
198.670000, 85.871
198.920000, 85.875
199.170000, 85.879
199.420000, 85.882
199.670000, 85.886
199.920000, 85.890
200.170000, 85.893
200.420000, 85.897
200.670000, 85.900
200.920000, 85.904
201.170000, 85.908
201.420000, 85.911
201.670000, 85.915
201.920000, 85.919
202.170000, 85.922
202.420000, 85.926
202.670000, 85.929
202.920000, 85.931
203.170000, 85.931
203.420000, 85.930
203.670000, 85.930
203.920000, 85.932
204.170000, 85.933
204.420000, 85.935
204.670000, 85.936
204.920000, 85.938
205.170000, 85.939
205.420000, 85.941
205.670000, 85.942
205.920000, 85.944
